iter	Passed	Remaining
453	1030	1239
454	1032	1236
455	1033	1233
456	1037	1233
457	1039	1230
458	1040	1226
459	1042	1223
460	1043	1220
461	1045	1217
462	1049	1217
463	1051	1214
464	1052	1211
465	1054	1207
466	1056	1205
467	1057	1202
468	1062	1203
469	1064	1200
470	1065	1197
471	1067	1193
472	1068	1190
473	1070	1187
474	1073	1186
475	1075	1183
476	1076	1180
477	1078	1177
478	1080	1175
479	1081	1171
480	1083	1169
481	1085	1166
482	1087	1163
483	1088	1160
484	1090	1157
485	1091	1154
486	1093	1151
487	1096	1149
488	1098	1147
489	1100	1145
490	1101	1141
491	1103	1139
492	1104	1136
493	1106	1133
494	1109	1132
495	1112	1130
496	1113	1127
497	1115	1123
498	1116	1121
499	1118	1118
500	1121	1117
501	1124	1115
502	1126	1112
503	1128	1110
504	1129	1107
505	1132	1106
506	1136	1105
507	1138	1102
508	1140	1099
509	1141	1097
510	1143	1094
511	1146	1092
512	1148	1089
513	1149	1086
514	1151	1084
515	1152	1081
516	1154	1078
517	1158	1078
518	1160	1075
519	1161	1072
520	1164	1070
521	1165	1067
522	1167	1064
523	1169	1062
524	1171	1059
525	1173	1057
526	1174	1054
527	1176	1051
528	1177	1048
529	1180	1046
530	1181	1043
531	1182	1040
532	1184	1037
533	1185	1034
534	1187	1031
535	1192	1032
536	1194	1029
537	1195	1027
538	1197	1024
539	1199	1021
540	1203	1021
541	1206	1019
542	1208	1016
543	1209	1013
544	1210	1010
545	1212	1008
546	1214	1005
547	1216	1003
548	1218	1001
549	1220	998
550	1221	995
551	1223	992
552	1224	990
553	1227	988
554	1230	986
555	1231	983
556	1233	980
557	1235	978
558	1240	978
559	1242	975
560	1243	973
561	1245	970
562	1246	967
563	1249	965
564	1251	963
565	1253	960
566	1254	958
567	1255	955
568	1257	952
569	1259	950
570	1261	948
571	1263	945
572	1266	943
573	1267	940
574	1269	938
575	1273	937
576	1275	935
577	1277	932
578	1278	929
579	1280	927
580	1283	925
581	1285	923
582	1287	920
583	1288	918
584	1290	915
585	1293	913
586	1299	914
587	1301	911
588	1303	909
589	1305	907
590	1308	905
591	1310	903
592	1312	900
593	1313	897
594	1315	895
595	1317	892
596	1319	890
597	1321	888
598	1322	885
599	1324	883
600	1326	880
601	1327	877
602	1329	874
603	1333	874
604	1334	871
605	1336	868
606	1337	866
607	1339	863
608	1340	860
609	1347	861
610	1350	859
611	1352	857
612	1354	854
613	1356	852
614	1357	849
615	1393	868
616	1395	866
617	1397	863
618	1398	861
619	1401	858
620	1403	856
621	1405	854
622	1407	851
623	1410	849
624	1429	857
625	1430	854
626	1435	853
627	1437	851
628	1439	849
629	1441	846
630	1444	844
631	1446	842
632	1448	839
633	1449	836
634	1451	834
635	1453	831
636	1458	831
637	1461	829
638	1463	826
639	1465	824
640	1468	822
641	1470	820
642	1472	817
643	1473	814
644	1475	811
645	1476	809
646	1479	807
647	1482	805
648	1483	802
649	1484	799
650	1486	796
651	1487	794
652	1489	791
653	1492	789
654	1494	787
655	1496	784
656	1498	782
657	1499	779
658	1501	776
659	1503	774
660	1505	772
661	1507	769
662	1508	766
663	1510	764
664	1511	761
665	1514	759
666	1517	757
667	1518	754
668	1520	752
669	1521	749
670	1523	746
671	1525	744
672	1528	742
673	1530	740
674	1532	737
675	1533	735
676	1535	732
677	1536	729
678	1539	727
679	1541	725
680	1543	722
681	1544	720
682	1546	717
683	1547	715
684	1549	712
685	1552	710
686	1553	707
687	1555	705
688	1556	702
689	1558	700
690	1559	697
691	1562	695
692	1564	693
693	1565	690
694	1567	687
695	1568	685
696	1570	682
697	1573	680
698	1575	678
699	1576	675
700	1578	673
701	1579	670
702	1581	667
703	1585	666
704	1587	664
705	1587	661
706	1589	658
707	1591	656
708	1592	653
709	1595	651
710	1597	649
711	1598	646
712	1600	644
713	1602	641
714	1603	639
715	1605	636
716	1609	635
717	1610	632
718	1612	630
719	1613	627
720	1615	625
721	1616	622
722	1620	620
723	1622	618
724	1624	616
725	1625	613
726	1627	611
727	1628	608
728	1631	606
729	1633	604
730	1635	601
731	1636	599
732	1638	596
733	1639	594
734	1642	592
735	1644	589
736	1647	587
737	1648	585
738	1650	582
739	1651	580
740	1653	577
741	1655	575
742	1658	573
743	1659	571
744	1660	568
745	1663	566
746	1664	563
747	1666	561
748	1668	559
749	1670	556
750	1671	554
751	1673	551
752	1674	549
753	1676	546
754	1679	544
755	1680	542
756	1682	540
757	1683	537
758	1685	535
759	1686	532
760	1689	530
761	1692	528
762	1693	526
763	1695	523
764	1696	521
765	1698	518
766	1699	516
767	1703	514
768	1705	512
769	1706	509
770	1708	507
771	1710	505
772	1711	502
773	1714	500
774	1717	498
775	1718	496
776	1719	493
777	1721	491
778	1723	488
779	1724	486
780	1728	484
781	1730	482
782	1731	480
783	1733	477
784	1735	475
785	1737	472
786	1740	471
787	1742	468
788	1743	466
789	1745	463
790	1747	461
791	1748	459
792	1755	458
793	1757	455
794	1759	453
795	1766	452
796	1768	450
797	1769	447
798	1770	445
799	1772	443
800	1774	440
801	1779	439
802	1780	436
803	1782	434
804	1783	432
805	1785	429
806	1787	427
807	1791	425
808	1792	423
809	1794	420
810	1795	418
811	1797	416
812	1799	413
813	1801	411
814	1803	409
815	1804	406
816	1806	404
817	1807	402
818	1808	399
819	1813	398
820	1815	395
821	1816	393
822	1819	391
823	1820	388
824	1822	386
825	1826	384
826	1827	382
827	1829	379
828	1830	377
829	1832	375
830	1836	373
831	1838	371
832	1840	368
833	1842	366
834	1843	364
835	1845	361
836	1847	359
837	1850	357
838	1851	355
839	1853	353
840	1855	350
841	1856	348
842	1860	346
843	1862	344
844	1864	341
845	1867	339
846	1868	337
847	1871	335
848	1872	333
849	1874	330
850	1876	328
851	1877	326
852	1881	324
853	1882	321
854	1889	320
855	1891	318
856	1894	316
857	1896	313
858	1898	311
859	1900	309
860	1901	307
861	1903	304
862	1905	302
863	1909	300
864	1911	298
865	1912	295
866	1913	293
867	1915	291
868	1917	289
869	1920	286
870	1922	284
871	1923	282
872	1925	280
873	1926	277
874	1928	275
875	1930	273
876	1932	271
877	1936	269
878	1939	266
879	1940	264
880	1942	262
881	1943	260
882	1946	257
883	1949	255
884	1951	253
885	1953	251
886	1954	248
887	1960	247
888	1962	244
889	1963	242
890	1965	240
891	1966	238
892	1969	235
893	1973	233
894	1974	231
895	1976	229
896	1977	227
897	1980	224
898	1983	222
899	1985	220
900	1986	218
901	1987	215
902	1989	213
903	1991	211
904	1993	209
905	1996	207
906	1997	204
907	1999	202
908	2000	200
909	2002	198
910	2004	195
911	2008	193
912	2009	191
913	2010	189
914	2012	186
915	2014	184
916	2015	182
917	2019	180
918	2020	178
919	2022	175
920	2023	173
921	2025	171
922	2027	169
923	2028	166
924	2031	164
925	2032	162
926	2034	160
927	2035	157
928	2038	155
929	2042	153
930	2044	151
931	2045	149
932	2047	147
933	2049	144
934	2052	142
935	2055	140
936	2056	138
937	2057	136
938	2059	133
939	2062	131
940	2064	129
941	2066	127
942	2068	125
943	2069	122
944	2071	120
945	2075	118
946	2079	116
947	2080	114
948	2082	111
949	2084	109
950	2085	107
951	2087	105
952	2090	103
953	2093	100
954	2095	98
955	2096	96
956	2100	94
957	2102	92
958	2104	89
959	2105	87
960	2107	85
961	2108	83
962	2110	81
963	2115	78
964	2116	76
965	2118	74
966	2119	72
967	2121	70
968	2123	67
969	2125	65
970	2127	63
971	2131	61
972	2132	59
973	2133	56
974	2136	54
975	2139	52
976	2141	50
977	2142	48
978	2144	46
979	2146	43
980	2147	41
981	2150	39
982	2151	37
983	2153	35
984	2155	32
985	2156	30
986	2158	28
987	2161	26
988	2163	24
989	2164	21
990	2166	19
991	2167	17
992	2169	15
993	2173	13
994	2175	10
995	2177	8
996	2178	6
997	2180	4
998	2181	2
999	2183	0
